私密頻道 ADULT,#genre#
NOW SPORTS 7,http://line.lebiptv.me/km6m4950/pqGB5365/802482
PREMIER SPORTS LALIGA,http://line.lebiptv.me/live/km6m4950/pqGB5365/577982.ts
PREMIER SPORTS 2,http://line.lebiptv.me/live/km6m4950/pqGB5365/577981.ts
RACING 240,http://line.lebiptv.me/live/km6m4950/pqGB5365/1125022.ts
RACING.COM,http://line.lebiptv.me/live/km6m4950/pqGB5365/259849.ts
RACING TV UK,http://line.lebiptv.me/live/km6m4950/pqGB5365/577958.ts
SKY RACING 1,http://line.lebiptv.me/live/km6m4950/pqGB5365/879881.ts
SKY RACING 2,http://line.lebiptv.me/live/km6m4950/pqGB5365/879880.ts
SKY SPORT 1,http://line.lebiptv.me/live/km6m4950/pqGB5365/699776.ts
SKY SPORT 2,http://line.lebiptv.me/live/km6m4950/pqGB5365/699774.ts
SKY SPORT 3,http://line.lebiptv.me/live/km6m4950/pqGB5365/699752.ts
SKY SPORT 4,http://line.lebiptv.me/live/km6m4950/pqGB5365/699750.ts
SKY SPORT 5,http://line.lebiptv.me/live/km6m4950/pqGB5365/699748.ts
SKY SPORT 6,http://line.lebiptv.me/live/km6m4950/pqGB5365/699746.ts
SKY SPORT 7,http://line.lebiptv.me/live/km6m4950/pqGB5365/699744.ts
SKY SPORT 8,http://line.lebiptv.me/live/km6m4950/pqGB5365/699742.ts
SKY SPORT 9,http://line.lebiptv.me/live/km6m4950/pqGB5365/699740.ts
SKY SPORT 10,http://line.lebiptv.me/live/km6m4950/pqGB5365/699738.ts
SKY SPORTS MIX,http://line.lebiptv.me/live/km6m4950/pqGB5365/577989.ts
SKY SPORTS MAIN EVENTS,http://line.lebiptv.me/live/km6m4950/pqGB5365/577997.ts
SKY SPORTS NEWS,http://line.lebiptv.me/live/km6m4950/pqGB5365/577994.ts
SKY SPORTS PREMIER LEAGUE,http://line.lebiptv.me/live/km6m4950/pqGB5365/577996.ts
SKY SPORTS RACING,http://line.lebiptv.me/live/km6m4950/pqGB5365/577988.ts
TSN 1,http://line.lebiptv.me/live/km6m4950/pqGB5365/487807.ts
TSN 2,http://line.lebiptv.me/live/km6m4950/pqGB5365/487806.ts
TSN 3,http://line.lebiptv.me/live/km6m4950/pqGB5365/487805.ts
TSN 4,http://line.lebiptv.me/live/km6m4950/pqGB5365/487804.ts
TSN 5,http://line.lebiptv.me/live/km6m4950/pqGB5365/487803.ts
beIN SPORTS XTRA,https://jmp2.uk/stvp-USAJ4300001Q7
ESPN8: The Ocho,https://jmp2.uk/stvp-US34000040T
FanDuel TV Extra,https://jmp2.uk/stvp-US1400012RF
FIFA+,https://jmp2.uk/stvp-USBD12000255B
FOX Sports,https://jmp2.uk/stvp-US2700001QY
MSG SportsZone,https://jmp2.uk/stvp-USBD300021B8
NBC Sports NOW,https://jmp2.uk/stvp-USBD420002446
Now HK Premier Sports 1,http://vocotv.pro:80/0000011/0000011/715574
Now HK Premier Sports 2,http://vocotv.pro:80/0000011/0000011/715573
Now HK Premier Sports 3,http://vocotv.pro:80/0000011/0000011/715572
Now HK Premier Sports 4,http://vocotv.pro:80/0000011/0000011/715571
Now HK Premier Sports 5,http://vocotv.pro:80/0000011/0000011/715570
Now HK Premier Sports 6,http://vocotv.pro:80/0000011/0000011/715569
Now HK Premier Sports 7,http://vocotv.pro:80/0000011/0000011/715568
Now HK Premier Sports 8,http://vocotv.pro:80/0000011/0000011/715567
Now HK Now Sports 1,http://vocotv.pro:80/0000011/0000011/715566
Now HK Now Sports 2,http://vocotv.pro:80/0000011/0000011/715565
Now HK Now Sports 3,http://vocotv.pro:80/0000011/0000011/715564
Now HK Now Sports 4,http://vocotv.pro:80/0000011/0000011/715563
Now HK Now Sports 5,http://vocotv.pro:80/0000011/0000011/715562
Now HK Now Sports 6,http://vocotv.pro:80/0000011/0000011/715561
Now HK Now Sports 7,http://vocotv.pro:80/0000011/0000011/715560
Now Sports PRIME,http://vocotv.pro:80/0000011/0000011/715559
Now HK Now Sports 4K 616,http://vocotv.pro:80/0000011/0000011/715558
Now HK Now Sports 4K 617,http://vocotv.pro:80/0000011/0000011/715557
Hub Premier 1 FHD,http://vocotv.pro:80/0000011/0000011/288375
Hub Premier 2 FHD,http://vocotv.pro:80/0000011/0000011/288374
Hub Premier 3 FHD,http://vocotv.pro:80/0000011/0000011/288373
Hub Premier 4 FHD,http://vocotv.pro:80/0000011/0000011/288372
Hub Premier 5 FHD,http://vocotv.pro:80/0000011/0000011/288371
Hub Premier 6 FHD,http://vocotv.pro:80/0000011/0000011/288370
Hub Premier 7 FHD,http://vocotv.pro:80/0000011/0000011/288369
Hub Premier 8 FHD,http://vocotv.pro:80/0000011/0000011/288368
Hub Premier 9 FHD,http://vocotv.pro:80/0000011/0000011/288367
Hub Premier 10 FHD,http://vocotv.pro:80/0000011/0000011/288366
Hub Premier 11 FHD,http://vocotv.pro:80/0000011/0000011/288365
Hub Premier 2 UHD,http://vocotv.pro:80/0000011/0000011/288364
Hub Sport 1 FHD,http://vocotv.pro:80/0000011/0000011/288363
Hub Sports 2 FHD,http://vocotv.pro:80/0000011/0000011/288362
Hub Sports 3 FHD,http://vocotv.pro:80/0000011/0000011/288361
Hub Sports 4 FHD,http://vocotv.pro:80/0000011/0000011/288360
Hub Sports 5 FHD,http://vocotv.pro:80/0000011/0000011/288359
beIN Sports 1 FHD,http://vocotv.pro:80/0000011/0000011/288357
beIN Sports 2 FHD,http://vocotv.pro:80/0000011/0000011/288356
beIN Sports 3 FHD,http://vocotv.pro:80/0000011/0000011/288355
beIN Sports 4 FHD,http://vocotv.pro:80/0000011/0000011/288354
beIN Sports 5 FHD,http://vocotv.pro:80/0000011/0000011/288353
SPOTV,http://vocotv.pro:80/0000011/0000011/288352
SPOTV 2,http://vocotv.pro:80/0000011/0000011/288351
Premier Sports 1 FHD UK,http://vocotv.pro:80/0000011/0000011/709352
Premier Sports 2 FHD UK,http://vocotv.pro:80/0000011/0000011/709350
Racing UK FHD UK,http://vocotv.pro:80/0000011/0000011/709346
Sky Sports Action FHD UK,http://vocotv.pro:80/0000011/0000011/709403
Sky Sports Arena FHD UK,http://vocotv.pro:80/0000011/0000011/709401
Sky Sports Cricket FHD UK,http://vocotv.pro:80/0000011/0000011/709399
Sky Sports Darts FHD UK,http://vocotv.pro:80/0000011/0000011/709397
Sky Sports F1 FHD UK,http://vocotv.pro:80/0000011/0000011/709396
Sky Sports Football FHD UK,http://vocotv.pro:80/0000011/0000011/709394
Sky Sports Golf FHD UK,http://vocotv.pro:80/0000011/0000011/709391
Sky Sports Main Event FHD UK,http://vocotv.pro:80/0000011/0000011/709389
Sky Sports Mix FHD UK,http://vocotv.pro:80/0000011/0000011/709387
Sky Sports News FHD UK,http://vocotv.pro:80/0000011/0000011/709385
Sky Sports NFL HD UK,http://vocotv.pro:80/0000011/0000011/709383
Sky Sports Plus (HEVC) UK,http://vocotv.pro:80/0000011/0000011/709392
Sky Sports Premier League FHD UK,http://vocotv.pro:80/0000011/0000011/709382
Sky Sports Racing FHD UK,http://vocotv.pro:80/0000011/0000011/709380
USA FanDuel TV Racing,http://vocotv.pro:80/0000011/0000011/815
USA TVG Network,http://vocotv.pro:80/0000011/0000011/836
USA TVG 2 Network,http://vocotv.pro:80/0000011/0000011/835
韓國頻道,#genre#
TVN,https://d3kirm9c53tl5m.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-us244sbpf51mr-ssai-prd/1e735686_e190_4801_944d_651719fca85a/hls/playlist.m3u8
TVN,https://dp9vqmqe1b62.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-rqup1fpzurgqx-ssai-prd/dc942d76_e776_4c34_8e0c_f09008912455/hls/playlist.m3u8
TVN,https://d21dxaer0ypwk1.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-a6m2cy2rylsvo-ssai-prd/54ac8e25_eb5a_4f10_ba20_ffb254f0a16c/hls/playlist.m3u8
TVN,https://dcqm3yrmhgffm.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-kl2somy43z7lq-ssai-prd/afb160a1_1669_46f6_aba5_e55f48c7b2ca/hls/playlist.m3u8
TVN,https://d2zyqoz1zsj2mq.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-i9yul1lyegl6e-ssai-prd/6d07fe2a_003a_4879_acfc_44e3c3c10f03/hls/playlist.m3u8
TVN,https://d25mdvvpht3395.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-p8ea370fl7r4f-ssai-prd/82f296fd_2916_45b7_b799_525a4226957a/hls/playlist.m3u8
TVN,https://dmnsygceaez9z.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-kugwkm0rtsyfv-ssai-prd/89a2b732_7d4e_4098_9b82_f8e829ab07f0/hls/playlist.m3u8
TVN,https://d32khooduen8y3.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-p170vbjf0s68a-ssai-prd/2e874342_9a2c_48e9_9066_7ab3a3284a80/hls/playlist.m3u8
Arirang 阿里郎,http://amdlive-ch01.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
KBS 1,https://tv.iill.top/kbs/11&p=0
KBS 2,https://tv.iill.top/kbs/12&p=0
BBS 불교 방송,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist.m3u8
CJ OnStyle,https://live-ch1.cjonstyle.net/cjmalllive/stream2/playlist.m3u8
CJ OnStyle Plus,https://live-ch2.cjonstyle.net/cjosplus/live2/playlist.m3u8
EBS+ 1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
EBS+ 2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
EBS 1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8?zshijd
EBS 2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8?zshijd
EBS 키즈,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8?zshijd
GS Shop,https://gstv-gsshop.gsshop.com/gsshop_hd/gsshop_hd.stream/playlist.m3u8
Gugak TV,http://mgugaklive.nowcdn.co.kr/gugakvideo/gugakvideo.stream/playlist.m3u8
KBS Drama,http://mytv.dothome.co.kr/ch/catv/2.php
KBS Joy,http://mytv.dothome.co.kr/ch/catv/3.php
KBS Kids,http://mytv.dothome.co.kr/ch/catv/6.php
KBS LIFE,http://mytv.dothome.co.kr/ch/catv/5.php
KBS LiveCam DokDo,http://kbs-dokdo.gscdn.com/dokdo_300/dokdo_300.stream/playlist.m3u8
KBS Story,http://mytv.dothome.co.kr/ch/catv/4.php
Korea TV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
MBC,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
NBS,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
SBS,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
TBS Seoul,https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
국방国防TV,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
TV조선,http://onair.cdn.tvchosun.com/origin1/_definst_/tvchosun_s1/playlist.m3u8
TV조선 2,http://onair2.cdn.tvchosun.com/origin2/_definst_/tvchosun_s3/playlist.m3u8
Korea TV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
MBC 综艺频道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
NBS 农业广播,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
SBS 清州放送,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
TBS Seoul,https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
华艺MBC,http://mytv.dothome.co.kr/ch/public/5.php
MBC-목포,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC-춘천,https://stream.chmbc.co.kr/TV/myStream/playlist.m3u8
MBC-대구,https://5ee1ec6f32118.streamlock.net/live/livetv/playlist.m3u8
MBC-제주,https://wowza.jejumbc.com/live/tv_jejumbc/playlist.m3u8
MBC-여수,https://5c3639aa99149.streamlock.net/live_TV/tv/playlist.m3u8
港澳馬新,#genre#
凤凰中文,https://mgev.188766.xyz/?migutoken=4ef3c2c37d25fcaa16ad97fb05be1613&id=fhzw&pp=1
凤凰中文,https://migu.188766.xyz/?migutoken=9c8a1a5b6cbb22cdbc7efc1f78bfc904&id=hk_fhzw&type=dy
凤凰资讯,https://mgev.188766.xyz/?migutoken=22d63105771b83bceb1bbd8d9744a644&id=fhzx&pp=1
凤凰资讯,https://migu.188766.xyz/?migutoken=bb321a92cf2911c8074cce9e4f6992c7&id=hk_fhzx&type=dy
凤凰香港,https://mgev.188766.xyz/?migutoken=f5c3a23e16f7679aa1ca34ba790afe2c&id=fhhk&pp=1
凤凰香港,https://migu.188766.xyz/?migutoken=f385bc5c335d32c88521f5557a21ae20&id=hk_fhhk&type=dy
翡翠台,https://migu.188766.xyz/?migutoken=2cc765a3dab6960859f25d73268266fa&id=hk_fct&type=dy
翡翠台4K,https://migu.188766.xyz/?migutoken=92a91f452e2903b448cb531eab25cd03&id=hk_fct4k&type=dy
无线新闻,https://migu.188766.xyz/?migutoken=8e1f07af6a750bce7e5c0b25f40c997a&id=hk_wxxw&type=dy
Now新闻台,https://migu.188766.xyz/?migutoken=703048d51dcf96dce0b91973962ed880&id=hk_now&type=dy
TVB Plus,https://migu.188766.xyz/?migutoken=9dab55c7b004956321612ebad3b83021&id=hk_tvbp&type=dy
明珠台,https://migu.188766.xyz/?migutoken=4c1e9fd108d93723888cf78579df7b16&id=hk_mzt&type=dy
TVB星河,https://migu.188766.xyz/?migutoken=27ad46b41bb951fbf469018734b8a05e&id=hk_tvbxh&type=dy
TVB功夫,https://migu.188766.xyz/?migutoken=261f59826af676f30967fd1c95fcd59a&id=hk_yzwx&type=dy
八度空间,https://migu.188766.xyz/?migutoken=5238f19a807ece244c21aef0af0f9f10&id=hk_8tv&type=dy
CHU,https://migu.188766.xyz/?migutoken=f35875869bf62c47c364476a73a3a18f&id=hk_chu&type=dy
CH5,https://migu.188766.xyz/?migutoken=dd87cc022bfb0802bc2c8b6154e27929&id=hk_ch5&type=dy
CH8,https://migu.188766.xyz/?migutoken=481ad930f8b0ac7d62b0e516f588a9a8&id=hk_ch8&type=dy
澳视澳门,https://migu.188766.xyz/?migutoken=8c1e5853c8bfae2ce1b62b631e005699&id=hk_asam&type=dy
HOY77,https://migu.188766.xyz/?migutoken=303edd573c7fe366ad716295fc4ce87e&id=hk_hoy&type=dy
廣東珠江,http://php.jdshipin.com/PLTV/iptv.php?id=gdzj
廣東體育,http://php.jdshipin.com/PLTV/iptv.php?id=gdty
Plus綜合,http://php.jdshipin.com/PLTV/iptv.php?id=tvbp
Plus綜合,http://php.jdshipin.com/PLTV/iptv.php?id=j2
TVBJ1美,http://php.jdshipin.com/PLTV/iptv.php?id=j1
TVBJ1美,http://php.jdshipin.com/PLTV/iptv.php?id=tvbj1
鳳凰中文,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw
鳳凰資訊,http://php.jdshipin.com/PLTV/iptv.php?id=fhzx
鳳凰香港,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
有線綜合粵,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv2
有線綜合國,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv
無線新聞,http://php.jdshipin.com/PLTV/iptv.php?id=wxxwt
無線翡翠頻4k,http://php.jdshipin.com/PLTV/iptv.php?id=fct4
無線翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
無線翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
無線翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct
無線華麗國,http://php.jdshipin.com/PLTV/iptv.php?id=huali
無線明珠粵,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
無線明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
無線娛樂,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw
無線星河,http://php.jdshipin.com/PLTV/iptv.php?id=tvbxh
無線星河,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
無線千禧,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
美亞電影,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
VIUTV粵,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
RTHK-31,http://php.jdshipin.com/PLTV/iptv.php?id=rthk31
RTHK-32,http://php.jdshipin.com/PLTV/iptv.php?id=rthk32
AstroRio,http://php.jdshipin.com/PLTV/iptv.php?id=aod
澳門Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳視澳門,http://php.jdshipin.com/PLTV/iptv.php?id=asam
重溫經典,http://php.jdshipin.com/PLTV/iptv.php?id=cwjd
小公视,https://livecdn9.ptsplus.tv/pts-youth-A/playlist.m3u8
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
華麗翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
無線新聞台,http://php.jdshipin.com/smt.php?id=inews_twn
NOW新聞,http://mytv.cdn.com.mp/live/now/stream.m3u8
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
千禧經典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娛樂新聞台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映頻道,http://php.jdshipin.com/smt.php?id=Celestial
天映經典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
愛奇藝,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro歡喜台,http://php.jdshipin.com/smt.php?id=Huahee
八度空間,http://php.jdshipin.com/smt.php?id=TV8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台4k,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
鳳凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
鳳凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
鳳凰資訊,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
鳳凰資訊,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
鳳凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
鳳凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亞電影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重溫經典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
廣東珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
廣東體育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳視澳門,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳視衛星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
港澳台,#genre#
无线新闻,http://line.lebiptv.me/km6m4950/pqGB5365/500949
翡翠台,http://line.lebiptv.me/km6m4950/pqGB5365/500954
TVBJ1,http://line.lebiptv.me/km6m4950/pqGB5365/500945
TVB1,http://line.lebiptv.me/km6m4950/pqGB5365/500946
TVB1,http://line.lebiptv.me/km6m4950/pqGB5365/500951
TVBS ASIA,http://line.lebiptv.me/km6m4950/pqGB5365/500947
TVB DRAMA,http://line.lebiptv.me/km6m4950/pqGB5365/500948
TVBe,http://line.lebiptv.me/km6m4950/pqGB5365/500950
千禧经典台,http://line.lebiptv.me/km6m4950/pqGB5365/500952
TVB娱乐新闻台,http://line.lebiptv.me/km6m4950/pqGB5365/500953
TVB星河,http://line.lebiptv.me/km6m4950/pqGB5365/500957
凤凰资讯,http://line.lebiptv.me/km6m4950/pqGB5365/500960
FAIRCHILD TV 1,http://line.lebiptv.me/km6m4950/pqGB5365/500942
FAIRCHILD TV 1 WEST,http://line.lebiptv.me/km6m4950/pqGB5365/500943
FAIRCHILD TV 2,http://line.lebiptv.me/km6m4950/pqGB5365/500944
翡翠台4K,http://cdn.veryfast.filegear-sg.me/live/fct4k/stream.m3u8
翡翠台,http://cdn6.veryfast.filegear-sg.me/live/fct4k/stream.m3u8
鳳凰中文,http://cdn.veryfast.filegear-sg.me/live/fhzw/stream.m3u8
RTHK33,http://cdn.veryfast.filegear-sg.me/live/cctv1/stream.m3u8
TVB PLUS,http://cdn.veryfast.filegear-sg.me/live/tvbp/stream.m3u8
HOY77,http://cdn6.veryfast.filegear-sg.me/live/hoy/stream.m3u8
HOY77,http://cdn.veryfast.filegear-sg.me/live/hoy/stream.m3u8
VIUTV,http://cdn.veryfast.filegear-sg.me/live/viu/stream.m3u8
NOW新聞,http://cdn.veryfast.filegear-sg.me/live/now/stream.m3u8
RTHK31,http://cdn.veryfast.filegear-sg.me/live/rthk31/stream.m3u8
RTHK32,http://cdn.veryfast.filegear-sg.me/live/rthk32/stream.m3u8
澳視澳門,http://cdn.veryfast.filegear-sg.me/live/asam/stream.m3u8
澳視衛星,http://cdn.veryfast.filegear-sg.me/live/as/stream.m3u8
重溫經典,http://cdn6.veryfast.filegear-sg.me/live/cwjd/stream.m3u8
鳳凰資訊,http://cdn6.veryfast.filegear-sg.me/live/fhzx/stream.m3u8
鳳凰香港,http://cdn6.veryfast.filegear-sg.me/live/fhhk/stream.m3u8
TVB1,http://cdn6.veryfast.filegear-sg.me/live/tvb1/stream.m3u8
TVBJ1,http://cdn6.veryfast.filegear-sg.me/live/j1/stream.m3u8
翡翠劇集台,http://cdn6.veryfast.filegear-sg.me/live/tvbd/stream.m3u8
翡翠台,http://cdn6.veryfast.filegear-sg.me/live/fct/stream.m3u8
明珠台,http://cdn.veryfast.filegear-sg.me/live/mzt/stream.m3u8
無線新聞,http://cdn6.veryfast.filegear-sg.me/live/wxxw/stream.m3u8
廣東珠江,http://cdn2.veryfast.filegear-sg.me/live/gdzj/stream.m3u8
廣東體育,http://cdn2.veryfast.filegear-sg.me/live/gdty/stream.m3u8
八度空間,http://cdn6.veryfast.filegear-sg.me/live/8tv/stream.m3u8
CH5,http://cdn6.veryfast.filegear-sg.me/live/ch5/stream.m3u8
CH8,http://cdn6.veryfast.filegear-sg.me/live/ch8/stream.m3u8
CHU,http://cdn6.veryfast.filegear-sg.me/live/chu/stream.m3u8
龍華電影,http://cdn8.veryfast.filegear-sg.me/live/lhdy/stream.m3u8
龍華經典,http://cdn8.veryfast.filegear-sg.me/live/lhjd/stream.m3u8
龍華卡通,http://cdn8.veryfast.filegear-sg.me/live/lhkt/stream.m3u8
龍華偶像,http://cdn8.veryfast.filegear-sg.me/live/lhox/stream.m3u8
龍華日韓,http://cdn8.veryfast.filegear-sg.me/live/lhrh/stream.m3u8
龍華戲劇,http://cdn8.veryfast.filegear-sg.me/live/lhxj/stream.m3u8
龍華洋片,http://cdn8.veryfast.filegear-sg.me/live/lhyp/stream.m3u8
翡翠台,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=jade_twn
翡翠台,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=jade_xue
華麗翡翠,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Tvbjade
明珠台,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=pearl_twn
無線新聞,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=inews_twn
TVB PLUS,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=j2_twn
TVB星河,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Xinhe
千禧經典台,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Tvbclassic
娛樂新聞台,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Tvbentertainment
VIUTV,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=viu1_twn
ViuTVSix,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=viusix_twn
RTHK31,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=rhk31_twn
RTHK32,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=rhk32_twn
鳳凰中文,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=phoenixtv_hd
鳳凰資訊,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=phoenixinfo_hd
鳳凰香港,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=hkphoenix_twn
美亞電影,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=meiyamovie_twn
天映馬來西亞,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Celestial
天映經典,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Celestial2
Astro AOD,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Aodhd
Astro AEC,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=AEC
愛奇藝,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Qiyi
Astro QJ,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Quanjia
Astro歡喜台,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Huahee
八度空間,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=TV8
華麗翡翠,http://v2h.veryfast.filegear-sg.me/live/hlfct/stream.m3u8
TVB亞洲武俠,http://v2h.veryfast.filegear-sg.me/live/yzwx/stream.m3u8
娛樂新聞台,http://v2h.veryfast.filegear-sg.me/live/ylxw/stream.m3u8
無線新聞,http://v2h.veryfast.filegear-sg.me/live/wxxw/stream.m3u8
TVB星河,http://v2h.veryfast.filegear-sg.me/live/tvbxh/stream.m3u8
翡翠台,http://mytv.veryfast.filegear-sg.me/hls/fct/playlist.m3u8
明珠台,http://o12.veryfast.filegear-sg.me/hls/mzt/playlist.m3u8
翡翠台4K,http://o12.veryfast.filegear-sg.me/hls/fct4k/playlist.m3u8
歡笑劇場4K,http://cdn3.veryfast.filegear-sg.me/live/hxjc4k/stream.m3u8
